Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","5FA","SAMN08380014","PRJNA430697","GCA_002953795.1","Complete",4.65185,50.8,"chromosome:NZ_CP026350.1/CP026350.1",,1,4234,"2018-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/953/795/GCA_002953795.1_ASM295379v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/795/GCF_002953795.1_ASM295379v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","4FA","SAMN08380012","PRJNA430697","GCA_002953815.1","Complete",4.65185,50.8,"chromosome:NZ_CP026352.1/CP026352.1",,1,4234,"2018-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/953/815/GCA_002953815.1_ASM295381v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/815/GCF_002953815.1_ASM295381v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","4A","SAMN08380011","PRJNA430697","GCA_002953835.1","Complete",4.65185,50.8,"chromosome:NZ_CP026353.1/CP026353.1",,1,4233,"2018-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/953/835/GCA_002953835.1_ASM295383v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/835/GCF_002953835.1_ASM295383v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","6FA","SAMN08380016","PRJNA430697","GCA_002952875.1","Complete",4.65185,50.8,"chromosome:NZ_CP026348.1/CP026348.1",,1,4233,"2018-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/875/GCA_002952875.1_ASM295287v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/875/GCF_002952875.1_ASM295287v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","2_0","SAMN08380003","PRJNA430697","GCA_002952955.1","Complete",4.65185,50.8,"chromosome:NZ_CP026359.1/CP026359.1",,1,4233,"2018-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/955/GCA_002952955.1_ASM295295v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/955/GCF_002952955.1_ASM295295v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","5A","SAMN08380013","PRJNA430697","GCA_002953055.1","Complete",4.65185,50.8,"chromosome:NZ_CP026351.1/CP026351.1",,1,4232,"2018-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/953/055/GCA_002953055.1_ASM295305v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/055/GCF_002953055.1_ASM295305v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","2FA","SAMN08380006","PRJNA430697","GCA_002953075.1","Complete",4.65185,50.8,"chromosome:NZ_CP026356.1/CP026356.1",,1,4233,"2018-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/953/075/GCA_002953075.1_ASM295307v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/075/GCF_002953075.1_ASM295307v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","2F_0","SAMN08380005","PRJNA430697","GCA_002953855.1","Complete",4.65185,50.8,"chromosome:NZ_CP026357.1/CP026357.1",,1,4234,"2018-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/953/855/GCA_002953855.1_ASM295385v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/855/GCF_002953855.1_ASM295385v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","9FA","SAMN08380022","PRJNA430697","GCA_002953015.1","Complete",4.65185,50.8,"chromosome:NZ_CP026342.1/CP026342.1",,1,4233,"2018-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/953/015/GCA_002953015.1_ASM295301v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/015/GCF_002953015.1_ASM295301v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","7FA","SAMN08380018","PRJNA430697","GCA_002952855.1","Complete",4.65184,50.8,"chromosome:NZ_CP026346.1/CP026346.1",,1,4234,"2018-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/855/GCA_002952855.1_ASM295285v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/855/GCF_002952855.1_ASM295285v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","8A","SAMN08380019","PRJNA430697","GCA_002953035.1","Complete",4.65184,50.8,"chromosome:NZ_CP026345.1/CP026345.1",,1,4233,"2018-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/953/035/GCA_002953035.1_ASM295303v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/035/GCF_002953035.1_ASM295303v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","9A","SAMN08380021","PRJNA430697","GCA_002952995.1","Complete",4.65184,50.8,"chromosome:NZ_CP026343.1/CP026343.1",,1,4231,"2018-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/995/GCA_002952995.1_ASM295299v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/995/GCF_002952995.1_ASM295299v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","7A","SAMN08380017","PRJNA430697","GCA_002953775.1","Complete",4.65184,50.8,"chromosome:NZ_CP026347.1/CP026347.1",,1,4233,"2018-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/953/775/GCA_002953775.1_ASM295377v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/775/GCF_002953775.1_ASM295377v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","6A","SAMN08380015","PRJNA430697","GCA_002952895.1","Complete",4.65179,50.8,"chromosome:NZ_CP026349.1/CP026349.1",,1,4233,"2018-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/895/GCA_002952895.1_ASM295289v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/895/GCF_002952895.1_ASM295289v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","2A","SAMN08380004","PRJNA430697","GCA_002953875.1","Complete",4.65177,50.8,"chromosome:NZ_CP026358.1/CP026358.1",,1,4233,"2018-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/953/875/GCA_002953875.1_ASM295387v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/875/GCF_002953875.1_ASM295387v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC9967","SAMEA3468857","PRJEB6403","GCA_900474625.1","Complete",4.64879,50.9,"chromosome 1:NZ_LS483303.1/LS483303.1",,1,4133,"2018-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/625/GCA_900474625.1_39888_E01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/474/625/GCF_900474625.1_39888_E01"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC10973","SAMEA3376924","PRJEB6403","GCA_900636045.1","Complete",4.64767,50.9,"chromosome 1:NZ_LR134216.1/LR134216.1",,1,4218,"2018-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/045/GCA_900636045.1_38656_G02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/045/GCF_900636045.1_38656_G02"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC9066","SAMEA3376909","PRJEB6403","GCA_900635145.1","Complete",4.64413,50.8,"chromosome 1:NZ_LR134000.1/LR134000.1",,1,4226,"2018-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/145/GCA_900635145.1_38490_G02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/635/145/GCF_900635145.1_38490_G02"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0019","SAMN04014860","PRJNA292901","GCA_002796445.1","Complete",4.72066,50.9,"chromosome:NZ_CP024889.1/CP024889.1; plasmid tig00000138_pilon:NZ_CP024888.1/CP024888.1",,2,4252,"2017-11-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/796/445/GCA_002796445.1_ASM279644v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/796/445/GCF_002796445.1_ASM279644v1"
"synthetic Escherichia coli C321.deltaA","Bacteria;Proteobacteria;Gammaproteobacteria","C321.deltaA","SAMN02603139","PRJNA215084","GCA_000474035.1","Complete",4.64355,50.8,"chromosome:CP006698.1",,1,4103,"2013-10-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/474/035/GCA_000474035.1_ASM47403v1",
"Escherichia coli HS","Bacteria;Proteobacteria;Gammaproteobacteria","HS","SAMN02604037","PRJNA13959","GCA_000017765.1","Complete",4.64354,50.8,"chromosome:NC_009800.1/CP000802.1",,1,4170,"2007-09-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/765/GCA_000017765.1_ASM1776v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/765/GCF_000017765.1_ASM1776v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","MGY","SAMN06227049","PRJNA361209","GCA_001999185.1","Complete",4.64328,50.8,"chromosome:NZ_CP019629.1/CP019629.1",,1,4210,"2017-02-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/999/185/GCA_001999185.1_ASM199918v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/999/185/GCF_001999185.1_ASM199918v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","K-12 substr. MG1655_TMP32XR2","SAMN03203489","PRJNA268139","GCA_001308165.1","Complete",4.64169,50.8,"chromosome:NZ_CP012870.1/CP012870.1",,1,4232,"2015-10-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/308/165/GCA_001308165.1_ASM130816v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/308/165/GCF_001308165.1_ASM130816v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","K-12 substr. MG1655_TMP32XR1","SAMN03203488","PRJNA268139","GCA_001308125.1","Complete",4.64168,50.8,"chromosome:NZ_CP012869.1/CP012869.1",,1,4231,"2015-10-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/308/125/GCA_001308125.1_ASM130812v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/308/125/GCF_001308125.1_ASM130812v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","CJ236","SAMN08823450","PRJNA448166","GCA_004358965.1","Complete",4.64165,50.8,"chromosome:NZ_CP029238.1/CP029238.1",,1,4224,"2019-03-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/358/965/GCA_004358965.1_ASM435896v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/965/GCF_004358965.1_ASM435896v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","JME67","SAMN12561908","PRJNA559875","GCA_008931725.1","Complete",4.64098,50.8,"chromosome:NZ_CP042843.1/CP042843.1",,1,4224,"2019-10-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/931/725/GCA_008931725.1_ASM893172v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/931/725/GCF_008931725.1_ASM893172v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","CIT","SAMN08367769","PRJNA430164","GCA_002899535.1","Complete",4.63967,50.8,"chromosome:NZ_CP026028.1/CP026028.1",,1,4228,"2018-01-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/899/535/GCA_002899535.1_ASM289953v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/899/535/GCF_002899535.1_ASM289953v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","JME66","SAMN12561907","PRJNA559875","GCA_008931865.1","Complete",4.63923,50.8,"chromosome:NZ_CP042844.1/CP042844.1",,1,4222,"2019-10-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/931/865/GCA_008931865.1_ASM893186v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/931/865/GCF_008931865.1_ASM893186v1"
"Escherichia coli K-12","Bacteria;Proteobacteria;Gammaproteobacteria","K-12 substr. AG100","SAMEA3143339","PRJEB7832","GCA_000981485.1","Complete",4.63813,50.8,"chromosome I:NZ_LN832404.1/LN832404.1",,1,4203,"2015-04-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/981/485/GCA_000981485.1_EcoliK12AG100","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/981/485/GCF_000981485.1_EcoliK12AG100"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","103","SAMEA4444104","PRJEB15352","GCA_900096795.1","Complete",4.63813,50.8,"chromosome I:NZ_LT615378.1/LT615378.1",,1,4209,"2017-01-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/096/795/GCA_900096795.1_Ecoli_AG100_Sample3_Doxycycline_Assembly","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/096/795/GCF_900096795.1_Ecoli_AG100_Sample3_Doxycycline_Assembly"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","106","SAMEA4444107","PRJEB15352","GCA_900096845.1","Complete",4.63813,50.8,"chromosome I:NZ_LT615377.1/LT615377.1",,1,4203,"2017-01-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/096/845/GCA_900096845.1_Ecoli_AG100_Sample3_M9_Assembly","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/096/845/GCF_900096845.1_Ecoli_AG100_Sample3_M9_Assembly"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC9064","SAMEA3861969","PRJEB6403","GCA_900636795.1","Complete",4.63668,50.8,"chromosome 1:NZ_LR134315.1/LR134315.1",,1,4177,"2018-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/795/GCA_900636795.1_44087_H02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/795/GCF_900636795.1_44087_H02"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","JME65","SAMN12561906","PRJNA559875","GCA_008931745.1","Complete",4.63586,50.8,"chromosome:NZ_CP042845.1/CP042845.1",,1,4218,"2019-10-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/931/745/GCA_008931745.1_ASM893174v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/931/745/GCF_008931745.1_ASM893174v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC11121","SAMEA3368339","PRJEB6403","GCA_900636055.1","Complete",4.63522,50.9,"chromosome 1:NZ_LR134220.1/LR134220.1",,1,4154,"2018-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/055/GCA_900636055.1_38656_H02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/055/GCF_900636055.1_38656_H02"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","JME64","SAMN12561905","PRJNA559875","GCA_008931765.1","Complete",4.63412,50.8,"chromosome:NZ_CP042846.1/CP042846.1",,1,4216,"2019-10-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/931/765/GCA_008931765.1_ASM893176v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/931/765/GCF_008931765.1_ASM893176v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","SQ37","SAMN03276545","PRJNA241498","GCA_000988355.1","Complete",4.63346,50.8,"chromosome:NZ_CP011320.1/CP011320.1",,1,4233,"2015-05-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/988/355/GCA_000988355.1_ASM98835v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/355/GCF_000988355.1_ASM98835v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","S3","SAMN03252450","PRJNA269191","GCA_001900905.1","Complete",4.63237,50.7,"chromosome:NZ_CP010228.1/CP010228.1",,1,4242,"2016-12-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/900/905/GCA_001900905.1_ASM190090v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/900/905/GCF_001900905.1_ASM190090v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","H3","SAMN03252431","PRJNA269191","GCA_001900815.1","Complete",4.67916,50.7938,"chromosome:NZ_CP010167.1/CP010167.1; plasmid A:NZ_CP010168.1/CP010168.1",,2,4256,"2016-12-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/900/815/GCA_001900815.1_ASM190081v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/900/815/GCF_001900815.1_ASM190081v1"
"Escherichia coli DH1","Bacteria;Proteobacteria;Gammaproteobacteria","DH1","SAMN02598470","PRJNA30031","GCA_000023365.1","Complete",4.63071,50.8,"chromosome:NC_017625.1/CP001637.1",,1,4176,"2009-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/365/GCA_000023365.1_ASM2336v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/365/GCF_000023365.1_ASM2336v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","Dam/Dcm","SAMN14933838","PRJNA341475","GCA_013166995.1","Complete",4.62804,50.8,"chromosome:NZ_CP053603.1/CP053603.1",,1,4159,"2020-05-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/166/995/GCA_013166995.1_ASM1316699v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/166/995/GCF_013166995.1_ASM1316699v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC122","SAMEA4364219","PRJEB6403","GCA_900186905.1","Complete",4.62597,51,"chromosome 1:NZ_LT906474.1/LT906474.1",,1,4131,"2017-08-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/186/905/GCA_900186905.1_49923_G01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/186/905/GCF_900186905.1_49923_G01"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","LIM","SAMN08367768","PRJNA430164","GCA_002899515.1","Complete",4.62497,50.8,"chromosome:NZ_CP026027.1/CP026027.1",,1,4213,"2018-01-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/899/515/GCA_002899515.1_ASM289951v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/899/515/GCF_002899515.1_ASM289951v1"
"Escherichia coli K-12","Bacteria;Proteobacteria;Gammaproteobacteria","K-12 substr. GM4792","SAMN02404591","PRJNA224130","GCA_001020945.2","Complete",4.62234,50.8,"chromosome:NZ_CP011342.2/CP011342.2",,1,4192,"2015-06-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/020/945/GCA_001020945.2_ASM102094v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/020/945/GCF_001020945.2_ASM102094v2"
"Escherichia coli K-12","Bacteria;Proteobacteria;Gammaproteobacteria","K-12 substr. GM4792","SAMN02404590","PRJNA224131","GCA_001021005.2","Complete",4.62166,50.8,"chromosome:NZ_CP011343.2/CP011343.2",,1,4192,"2015-06-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/021/005/GCA_001021005.2_ASM102100v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/005/GCF_001021005.2_ASM102100v2"
"Escherichia coli DH1","Bacteria;Proteobacteria;Gammaproteobacteria","DH1","SAMD00060976","PRJDA52077","GCA_000270105.1","Complete",4.62143,50.8,"chromosome:NC_017638.1/AP012030.1",,1,4166,"2010-12-16T23:10:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/105/GCA_000270105.1_ASM27010v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/105/GCF_000270105.1_ASM27010v1"
"Escherichia coli K-12","Bacteria;Proteobacteria;Gammaproteobacteria","ER3476","SAMN03277619","PRJNA271807","GCA_000974505.1","Complete",4.62116,50.8,"chromosome:NZ_CP010440.1/CP010440.1",,1,4181,"2015-04-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/505/GCA_000974505.1_ASM97450v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/505/GCF_000974505.1_ASM97450v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","YJ6","SAMD00157547","PRJDB5126","GCA_013374315.1","Complete",4.71555,50.9401,"chromosome:NZ_AP023235.1/AP023235.1; plasmid pYJ6-NDM5:NZ_AP023236.1/AP023236.1",,2,4253,"2020-06-17T23:02:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/374/315/GCA_013374315.1_ASM1337431v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/374/315/GCF_013374315.1_ASM1337431v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","RM14721","SAMN08581173","PRJNA341281","GCA_003013205.1","Complete",4.72645,50.8775,"chromosome:NZ_CP027105.1/CP027105.1; plasmid pRM14721:NZ_CP027106.1/CP027106.1",,2,4224,"2018-03-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/013/205/GCA_003013205.1_ASM301320v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/013/205/GCF_003013205.1_ASM301320v1"
"Escherichia coli K-12","Bacteria;Proteobacteria;Gammaproteobacteria","ER3454","SAMN03277616","PRJNA271807","GCA_000974405.1","Complete",4.61973,50.8,"chromosome:NZ_CP010438.1/CP010438.1",,1,4198,"2015-04-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/405/GCA_000974405.1_ASM97440v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/405/GCF_000974405.1_ASM97440v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","EC590","SAMN05252777","PRJNA325730","GCA_001682305.2","Complete",4.6177,50.8,"chromosome:NZ_CP016182.2/CP016182.2",,1,4122,"2016-07-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/682/305/GCA_001682305.2_ASM168230v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/682/305/GCF_001682305.2_ASM168230v2"
"Escherichia coli C","Bacteria;Proteobacteria;Gammaproteobacteria","C","SAMN06645125","PRJNA380607","GCA_002079225.1","Complete",4.61702,51,"chromosome:NZ_CP020543.1/CP020543.1",,1,4124,"2017-04-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/079/225/GCA_002079225.1_ASM207922v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/079/225/GCF_002079225.1_ASM207922v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","2017.01.04CC","SAMD00190245","PRJDB8858","GCA_011404215.1","Complete",4.61563,50.9,"chromosome:NZ_AP021891.1/AP021891.1",,1,4117,"2020-02-10T23:12:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/404/215/GCA_011404215.1_ASM1140421v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/404/215/GCF_011404215.1_ASM1140421v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","ME8067","SAMN08874680","PRJNA448977","GCA_003052665.1","Complete",4.61463,50.8,"chromosome:NZ_CP028703.1/CP028703.1",,1,4171,"2018-04-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/052/665/GCA_003052665.1_ASM305266v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/052/665/GCF_003052665.1_ASM305266v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","DH1Ec095","SAMN03861948","PRJNA290012","GCA_001183645.1","Complete",4.61422,50.8,"chromosome:NZ_CP012125.1/CP012125.1",,1,4153,"2015-07-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/183/645/GCA_001183645.1_ASM118364v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/183/645/GCF_001183645.1_ASM118364v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","C","SAMN09199078","PRJNA471099","GCA_003287245.1","Complete",4.61421,50.8,"chromosome:NZ_CP029371.1/CP029371.1",,1,4157,"2018-07-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/287/245/GCA_003287245.1_ASM328724v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/287/245/GCF_003287245.1_ASM328724v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","DH1Ec104","SAMN03863255","PRJNA290012","GCA_001183665.1","Complete",4.61236,50.8,"chromosome:NZ_CP012126.1/CP012126.1",,1,4152,"2015-07-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/183/665/GCA_001183665.1_ASM118366v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/183/665/GCF_001183665.1_ASM118366v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","SQ88","SAMN03276546","PRJNA241498","GCA_000988385.1","Complete",4.61088,50.8,"chromosome:NZ_CP011321.1/CP011321.1",,1,4232,"2015-05-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/988/385/GCA_000988385.1_ASM98838v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/385/GCF_000988385.1_ASM98838v1"
